Ticker,Company,CEO,Year,Compensation
XRX,Xerox Holdings Corporation,Giovanni Visentin,2019,13137434
TDG,TransDigm Group Incorporated,Kevin Stein,2019,13135200
RF,Regions Financial Corporation,John Turner Jr.,2019,13115267
RJF,"Raymond James Financial, Inc.",Paul Reilly,2019,13090394
PEG,Public Service Enterprise Group Incorporated,Ralph Izzo,2019,13074227
INFO,IHS Markit Ltd.,Lance Uggla,2019,13067316
NBL,"Noble Energy, Inc.",David Stover,2019,13038313
CXO,Concho Resources Inc.,Timothy Leach,2019,12958451
NLSN,Nielsen Holdings Plc,David Kenny,2019,12936400
FRC,First Republic Bank,James Herbert,2019,12884327
WDC,Western Digital Corporation,Stephen Milligan,2019,12866469
MCHP,Microchip Technology Incorporated,Steve Sanghi,2019,12864939
NOV,"National Oilwell Varco, Inc.",Clay Williams,2019,12826364
MKC,"McCormick & Company, Incorporated",Lawrence Kurzius,2019,12769185
HAL,Halliburton Company,Jeffrey Miller,2019,12753614
EOG,"EOG Resources, Inc.",William Thomas,2019,12738856
UAL,"United Airlines Holdings, Inc.",Oscar Munoz,2019,12643005
CCI,Crown Castle International Corp.,Jay Brown,2019,12620843
RSG,"Republic Services, Inc.",Donald Slager,2019,12617294
CERN,Cerner Corporation,Brent Shafer,2019,12538797
BK,The Bank of New York Mellon Corporation,Thomas Gibbons,2019,12525701
A,"Agilent Technologies, Inc.",Michael McMullen,2019,12520566
HOLX,"Hologic, Inc.",Stephen MacMillan,2019,12374753
TPR,"Tapestry, Inc.",Victor Luis,2019,12362240
DLR,"Digital Realty Trust, Inc.",A. Stein,2019,12337700
MLM,"Martin Marietta Materials, Inc.",C. Nye,2019,12198358
RL,Ralph Lauren Corporation,Patrice Louvet,2020,12170470
SYF,Synchrony Financial,Margaret Keane,2019,12169308
SPGI,"S&P Global, Inc.",Douglas Peterson,2019,12152512
KMB,Kimberly-Clark Corporation,Michael Hsu,2019,12028120
ROST,"Ross Stores, Inc.",Barbara Rentler,2020,12024336
DG,Dollar General Corporation,Todd Vasos,2020,12008059
IT,"Gartner, Inc.",Eugene Hall,2019,11960245
ADI,"Analog Devices, Inc.",Vincent Roche,2019,11948434
BXP,"Boston Properties, Inc.",Owen Thomas,2019,11917600
CME,CME Group Inc.,Terrence Duffy,2019,11867214
BLL,Ball Corporation,John Hayes,2019,11855921
EIX,Edison International,Pedro Pizarro,2019,11761702
ROK,"Rockwell Automation, Inc.",Blake Moret,2019,11710165
DD,"DuPont de Nemours, Inc.",C. Doyle,2019,11660634
WRK,WestRock Company,Steven Voorhees,2019,11659257
LOW,"Lowe's Companies, Inc.",Marvin Ellison,2020,11621369
AAL,American Airlines Group Inc.,W. Parker,2019,11571714
ADSK,"Autodesk, Inc.",Andrew Anagnost,2020,11569657
AAPL,Apple Inc.,Timothy Cook,2019,11555466
FMC,FMC Corporation,PIERRE BRONDEAU,2019,11536552
EW,Edwards Lifesciences Corporation,Michael Mussallem,2019,11520973
IVZ,Invesco Ltd.,Martin Flanagan,2019,11518949
FLT,"FleetCor Technologies, Inc.",Ronald Clarke,2019,11504313
NVDA,NVIDIA Corporation,Jen-Hsun Huang,2020,11492280
TFC,Truist Financial Corporation,Kelly King,2019,11491109
VNO,Vornado Realty Trust,Steven Roth,2019,11466885
BBY,"Best Buy Co., Inc.",Corie Barry,2020,11440663
XRAY,DENTSPLY SIRONA Inc.,Donald Casey Jr.,2019,11366243
CTVA,"Corteva, Inc.",James Collins Jr.,2019,11357053
VTR,"Ventas, Inc.",Debra Cafaro,2019,11348335
ABC,AmerisourceBergen Corporation,Steven Collis,2019,11309930
WM,"Waste Management, Inc.",James Fish,2019,11298101
XLNX,"Xilinx, Inc.",Victor Peng,2020,11222252
ZBH,"Zimmer Biomet Holdings, Inc.",Bryan Hanson,2019,11176720
CCL,Carnival Corporation,Arnold Donald,2019,11149514
JNPR,"Juniper Networks, Inc.",Rami Rahim,2019,11129890
KEYS,"Keysight Technologies, Inc.",Ronald Nersesian,2019,11124216
HOG,"Harley-Davidson, Inc.",Matthew Levatich,2019,11123478
WRB,W.R. Berkley Corp.,W. Berkley Jr.,2019,11017931
OKE,"ONEOK, Inc.",Terry Spencer,2019,10945741
AKAM,"Akamai Technologies, Inc.",F. Leighton,2019,10937601
AVB,"AvalonBay Communities, Inc.",Timothy Naughton,2019,10921362
HD,"The Home Depot, Inc.",Craig Menear,2020,10889833
IRM,Iron Mountain Incorporated,William Meaney,2019,10888949
CL,Colgate-Palmolive Company,Noel Wallace,2019,10828665
AES,The AES Corporation,Andres Gluski,2019,10827886
PRGO,Perrigo Company plc,Murray Kessler,2019,10807772
SYY,Sysco Corporation,Thomas Bene,2019,10732619
SJM,The J. M. Smucker Company,Mark Smucker,2020,10728961
DRI,"Darden Restaurants, Inc.",Eugene Lee Jr.,2019,10710578
FBHS,"Fortune Brands Home & Security, Inc.",Christopher Klein,2019,10693887
SIVB,SVB Financial Group,Greg Becker,2019,10677545
LDOS,"Leidos Holdings, Inc.",Roger Krone,2020,10671271
DLTR,"Dollar Tree, Inc.",Gary Philbin,2020,10604621
SPG,"Simon Property Group, Inc.",David Simon,2019,10439378
BEN,"Franklin Resources, Inc.",Gregory Johnson,2019,10431335
TSN,"Tyson Foods, Inc.",Noel White,2019,10398160
ATO,Atmos Energy Corporation,Michael Haefner,2019,10395993
PKG,Packaging Corporation of America,Mark Kowlzan,2019,10338117
DXCM,"DexCom, Inc.",Kevin Sayer,2019,10279373
PWR,"Quanta Services, Inc.",Earl Austin Jr.,2019,10247932
LEG,"Leggett & Platt, Incorporated",Karl Glassman,2019,10193912
AME,"AMETEK, Inc.",David Zapico,2019,10176064
SBAC,SBA Communications Corp.,Jeffrey Stoops,2019,10156251
AIZ,"Assurant, Inc.",Alan Colberg,2019,10155682
ZBRA,Zebra Technologies Corporation,Anders Gustafsson,2019,10150109
DGX,Quest Diagnostics Incorporated,Stephen Rusckowski,2019,10118539
WU,The Western Union Company,Hikmet Ersek,2019,10099500
WY,Weyerhaeuser Company,Devin Stockfish,2019,9957168
